iter	RMSE
186	140.8150747
187	140.8149534
188	140.7751865
189	140.7750758
190	140.774491
191	140.7741043
192	140.774015
193	140.7738956
194	140.7737981
195	140.7387342
196	140.7053938
197	140.6611794
198	140.6608783
199	140.6291668
200	140.6290201
201	140.5988673
202	140.5985835
203	140.5699148
204	140.5333503
205	140.506005
206	140.4771844
207	140.4770592
208	140.476669
209	140.4766002
210	140.4519486
211	140.4518407
212	140.428175
213	140.4058905
214	140.384703
215	140.3645587
216	140.3644451
217	140.3623846
218	140.3622345
219	140.3613256
220	140.3612256
221	140.3611311
222	140.3608891
223	140.3604987
224	140.3603485
225	140.3602672
226	140.3601644
227	140.3599383
228	140.3597822
229	140.3595546
230	140.3280679
231	140.3280029
232	140.3278224
233	140.3277124
234	140.3085559
235	140.3084619
236	140.2902492
237	140.2901164
238	140.2897598
239	140.2711415
240	140.2710773
241	140.253417
242	140.2533188
243	140.2509031
244	140.2346735
245	140.2345005
246	140.2344403
247	140.2343079
248	140.2342626
249	140.2341933
250	140.2188448
251	140.218792
252	140.2186866
253	140.1927349
254	140.1923692
255	140.1923368
256	140.1922748
257	140.1921869
258	140.1918485
259	140.1776619
260	140.1762658
261	140.1609114
262	140.1608337
263	140.1606723
264	140.1603555
265	140.1602349
266	140.1601988
267	140.1601795
268	140.160133
269	140.1600363
270	140.159913
271	140.1598431
272	140.1596277
273	140.159587
274	140.1595165
275	140.1594022
276	140.1593326
277	140.1456277
278	140.1455531
279	140.13243
280	140.109602
281	140.1092953
282	140.109119
283	140.096692
284	140.0856732
285	140.0851819
286	140.0659444
287	140.0658666
288	140.0657896
289	140.0657713
290	140.065734
291	140.0656836
292	140.0656462
293	140.0655899
294	140.0654706
295	140.0654261
296	140.0649123
297	140.0648994
298	140.0648605
299	140.0648146
300	140.0647303
301	140.0528978
302	140.0528508
303	140.0525867
304	140.0524934
305	140.0524148
306	140.0523262
307	140.052288
308	140.052168
309	140.0521124
310	140.0520843
311	140.0520709
312	140.0516754
313	140.0355566
314	140.0355072
315	140.0352201
316	140.0351772
317	140.0350028
318	140.0349715
319	140.0348356
320	140.0348042
321	140.0347205
322	140.0346672
323	140.0344392
324	140.0343597
325	140.0343326
326	140.0342856
327	140.0342102
328	140.0340864
329	140.0340147
330	140.0204548
331	140.0204266
332	140.0203828
333	140.0203621
334	140.0100756
335	140.0097849
336	140.0097168
337	139.9987957
338	139.9891091
339	139.9890353
340	139.9890059
341	139.9888237
342	139.9888011
343	139.9781869
344	139.9781479
345	139.978083
346	139.9780241
347	139.977943
348	139.9689465
349	139.9688749
350	139.9688197
351	139.9687972
352	139.9687797
353	139.9687063
354	139.9686684
355	139.9686525
356	139.9685938
357	139.9685731
358	139.9600206
359	139.9599757
360	139.959938
361	139.9599164
362	139.9597194
363	139.9596639
364	139.9596111
365	139.9595868
366	139.9595805
367	139.9595653
368	139.9595168
369	139.9513863
370	139.9430691
371	139.9423697
372	139.9423242
373	139.9335989
374	139.9266048
375	139.9265695
376	139.9180623
377	139.9180033
378	139.9179617
379	139.917598
380	139.9109581
381	139.910902
382	139.9027493
383	139.8964407
384	139.896407
385	139.8963729
386	139.8963555
387	139.8963337
388	139.896314
389	139.8962837
390	139.8905757
391	139.8905422
392	139.8904648
393	139.8903862
394	139.8903407
395	139.8842171
396	139.8841811
397	139.877342
398	139.8773146
399	139.8771746
400	139.8770839
401	139.8770388
402	139.8770028
403	139.8769477
404	139.8769147
405	139.8768661
406	139.8768542
407	139.8768081
408	139.8767861
409	139.8765941
410	139.8765392
411	139.8706462
412	139.8706339
413	139.8705711
414	139.8705384
415	139.8704095
416	139.8703922
417	139.8703182
418	139.8656551
419	139.865603
420	139.859301
421	139.8592866
422	139.8545809
423	139.8545132
424	139.8488268
425	139.8486495
426	139.8486389
427	139.8448239
428	139.8448094
429	139.8442267
430	139.8439564
431	139.8437365
432	139.8436246
433	139.8431375
434	139.8431212
435	139.8430542
436	139.8430404
437	139.8394154
438	139.839358
439	139.8359131
440	139.8358598
441	139.8358448
442	139.8358291
443	139.8357762
444	139.8357604
445	139.8356577
446	139.8323831
447	139.8320563
448	139.8287177
449	139.8287002
450	139.825558
451	139.825326
452	139.8223027
453	139.8221315
454	139.8220944
455	139.8220519
456	139.8218815
457	139.821869
458	139.8217111
459	139.8187621
460	139.8187243
461	139.8185782
462	139.8185414
463	139.8185296
464	139.818481
465	139.8184475
466	139.8183896
467	139.8182636
468	139.8180062
469	139.8178868
470	139.8177428
471	139.8174321
472	139.8171889
473	139.8104539
474	139.8104432
475	139.8103133
476	139.8102713
477	139.8102459
478	139.8077018
479	139.8073529
480	139.8049363
481	139.8026369
482	139.8026153
483	139.8025671
484	139.8002451
485	139.7999424
486	139.799904
487	139.7998847
488	139.7997788
489	139.7973733
490	139.7972242
491	139.7971924
492	139.7969063
493	139.7914892
494	139.7914576
495	139.7914267
496	139.7911314
497	139.7910784
498	139.7908197
499	139.7908022
500	139.7885444
501	139.7883477
502	139.7860375
503	139.7813472
504	139.7784522
505	139.7783238
506	139.7766521
507	139.7764916
508	139.7764865
509	139.7764403
510	139.7764088
511	139.7763827
512	139.7763773
513	139.7760935
514	139.7743962
515	139.7743756
516	139.7743502
517	139.7743076
518	139.7742918
519	139.7741751
520	139.7702107
521	139.7701701
522	139.770148
523	139.7698811
524	139.7697198
525	139.769621
526	139.7694606
527	139.7694124
528	139.7693872
529	139.7693621
530	139.7693223
531	139.7690912
532	139.7685329
533	139.7684565
534	139.7683215
535	139.7682101
536	139.7681842
537	139.7679305
538	139.7663172
539	139.7662909
540	139.7662661
541	139.7662324
542	139.7661841
543	139.7661752
544	139.7660217
545	139.762692
546	139.7624508
547	139.7621232
548	139.7620243
549	139.7620086
550	139.7591198
551	139.7576667
552	139.7573969
553	139.7571676
554	139.7571501
555	139.7569321
556	139.7569085
557	139.7568891
558	139.7568528
559	139.7568265
560	139.7567914
561	139.7557012
562	139.7556606
563	139.755549
564	139.755531
565	139.7537946
566	139.7537244
567	139.7523213
568	139.7521086
569	139.7505843
570	139.7505656
571	139.7503585
572	139.7503348
573	139.7502995
574	139.7501681
575	139.7477785
576	139.7476501
577	139.7476203
578	139.746352
579	139.7444095
580	139.7443772
581	139.7443582
582	139.7442745
583	139.742615
584	139.742376
585	139.741009
586	139.7408707
587	139.7408494
588	139.7408142
589	139.7407319
590	139.7405984
591	139.7405724
592	139.7402489
593	139.7382195
594	139.7381098
595	139.7379969
596	139.737977
597	139.7360541
598	139.7360483
599	139.7360113
600	139.7359212
601	139.7358924
602	139.7358154
603	139.7357918
604	139.7355949
605	139.7355724
606	139.7355542
607	139.73552
608	139.7354696
609	139.7354472
610	139.7354338
611	139.7353249
612	139.7350965
613	139.735067
614	139.7350212
615	139.734834
616	139.7348121
617	139.7347254
618	139.7346876
619	139.7346823
620	139.73466
621	139.7345554
622	139.734512
623	139.7344311
624	139.7342531
625	139.7342338
626	139.7342036
627	139.7330069
628	139.7328377
629	139.7328175
630	139.7328071
631	139.732786
632	139.7327649
633	139.732635
634	139.7325829
635	139.7324221
636	139.7314279
637	139.7313938
638	139.7313725
639	139.7311096
640	139.7310723
641	139.7310327
642	139.7310141
643	139.7308612
644	139.730833
645	139.7308133
646	139.7298262
647	139.7298053
648	139.7297793
649	139.7297065
650	139.7295612
651	139.7295309
652	139.7293798
653	139.729343
654	139.7293368
655	139.7293066
656	139.7292913
657	139.7292623
658	139.7292502
659	139.7290764
660	139.7289679
661	139.7269321
662	139.7269124
663	139.7258719
664	139.7258553
665	139.7248163
666	139.7247962
667	139.724777
668	139.7236855
669	139.7236101
670	139.7235741
671	139.7235495
672	139.7235235
673	139.7235128
674	139.7234769
675	139.7234026
676	139.7225118
677	139.7225008
678	139.7224967
679	139.7224817
680	139.7224717
681	139.7223299
682	139.7222405
683	139.7222218
684	139.7222107
685	139.7220374
686	139.7220234
687	139.7220065
688	139.7219968
689	139.7219575
690	139.7215946
691	139.7215785
692	139.7215765
693	139.7215528
694	139.7215441
695	139.7215368
696	139.7198189
697	139.7197917
698	139.7197545
699	139.7197428
700	139.7197255
701	139.719711
702	139.7196987
703	139.7195739
704	139.7195658
705	139.7195637
706	139.7195481
707	139.7195304
708	139.7182499
709	139.7182238
710	139.7182014
711	139.7181886
712	139.7181816
713	139.7172837
714	139.7162141
715	139.7160596
716	139.7159263
717	139.715916
718	139.7158913
719	139.7158812
720	139.7158663
721	139.715848
722	139.7158418
723	139.7158358
724	139.7157226
725	139.7153486
726	139.7153355
727	139.7153036
728	139.7152982
729	139.7152852
730	139.7136469
731	139.7135794
732	139.7135642
733	139.7135572
734	139.7135391
735	139.7135246
736	139.7128278
737	139.71276
738	139.7127496
739	139.7117933
740	139.7117556
741	139.7117377
742	139.7108505
743	139.7108112
744	139.7102125
745	139.7101671
746	139.7099776
747	139.7099568
748	139.7099284
749	139.7093594
750	139.7093439
751	139.7088031
752	139.7087956
753	139.7087654
754	139.7087435
755	139.7076948
756	139.7076764
757	139.7076595
758	139.7075999
759	139.7075879
760	139.7068469
761	139.7067996
762	139.7067784
763	139.7067643
764	139.7062746
765	139.7061505
766	139.7059546
767	139.7059156
768	139.7058449
769	139.7057228
770	139.7057085
771	139.705683
772	139.7056748
773	139.7056581
774	139.7049718
775	139.7048561
776	139.7046497
777	139.7046434
778	139.7046368
779	139.7046258
780	139.7042093
781	139.7042044
782	139.7041994
783	139.7028408
784	139.7028164
785	139.7028051
786	139.7026819
787	139.702566
788	139.7024705
789	139.7024485
790	139.7024322
791	139.7010329
792	139.7009352
793	139.7009228
794	139.7008877
795	139.7008616
796	139.7008436
797	139.7008013
798	139.6993176
799	139.6992958
800	139.6992718
801	139.6992428
802	139.6992224
803	139.6991734
804	139.6991646
805	139.6985518
806	139.6984428
807	139.6983913
808	139.6983773
809	139.698356
810	139.698332
811	139.6983223
812	139.6983187
813	139.6983083
814	139.6982953
815	139.6982898
816	139.6982799
817	139.6982397
818	139.698235
819	139.6981396
820	139.6973044
821	139.6971835
822	139.6964742
823	139.6958273
824	139.6958127
825	139.6946716
826	139.6946655
827	139.6946321
828	139.694621
829	139.6932071
830	139.6931712
831	139.6931476
832	139.6931276
833	139.693112
834	139.6931089
835	139.6931031
836	139.6930797
837	139.6930666
838	139.6930312
839	139.6930199
840	139.6926459
841	139.6926433
842	139.6925943
843	139.692549
844	139.6925379
845	139.6924602
846	139.6924249
847	139.6921851
848	139.6921812
849	139.6921646
850	139.6921536
851	139.692144
852	139.6920718
853	139.6920641
854	139.6920526
855	139.6917942
856	139.6914136
857	139.6911978
858	139.691179
859	139.6911749
860	139.691114
861	139.6911104
862	139.6901285
863	139.6901132
864	139.6900097
865	139.6900051
866	139.6886559
867	139.6885654
868	139.6885243
869	139.6881894
870	139.688165
871	139.6876928
872	139.6876901
873	139.6876789
874	139.6876763
875	139.6875734
876	139.6872763
877	139.6871706
878	139.6871569
879	139.6870664
880	139.6869694
881	139.6868083
882	139.6868058
883	139.6867993
884	139.6867771
885	139.6867605
886	139.6867311
887	139.6866692
888	139.6866096
889	139.6866072
890	139.6865885
891	139.6865698
892	139.6865541
893	139.686546
894	139.6865253
895	139.6865129
896	139.6858753
897	139.6856371
898	139.6856256
899	139.6852775
900	139.6852735
901	139.6852489
902	139.6852466
903	139.6852316
904	139.684754
905	139.684605
906	139.6845946
907	139.6845051
908	139.6844947
909	139.6844063
910	139.6843908
911	139.6840027
912	139.683986
913	139.6839783
914	139.6837965
915	139.6837051
916	139.683642
917	139.6836086
918	139.6836008
919	139.6835668
920	139.68355
921	139.6835441
922	139.6835327
923	139.6835178
924	139.6835106
925	139.6835003
926	139.6833226
927	139.683281
928	139.6832738
929	139.6832697
930	139.6832145
931	139.6831969
932	139.6831029
933	139.6830854
934	139.6830477
935	139.6830411
936	139.6830207
937	139.6830107
938	139.6820167
939	139.6819691
940	139.6819239
941	139.6819032
942	139.6817731
943	139.6817358
944	139.6817231
945	139.6817134
946	139.6817045
947	139.6816788
948	139.6816762
949	139.681658
950	139.6816541
951	139.6816427
952	139.6816284
953	139.6815524
954	139.6815322
955	139.6807232
956	139.6807164
957	139.6806653
958	139.6805757
959	139.6800079
960	139.6794938
961	139.6793632
962	139.6793548
963	139.6793505
964	139.6791376
965	139.6788353
966	139.6787856
967	139.6787657
968	139.6787522
969	139.6786988
970	139.6786768
971	139.6786697
972	139.6784693
973	139.6784282
974	139.6784188
975	139.6784073
976	139.6783982
977	139.6783896
978	139.67838
979	139.6783291
980	139.6783238
981	139.6783035
982	139.67829
983	139.6782822
984	139.6782691
985	139.6782531
986	139.6779247
987	139.6778684
988	139.6778599
989	139.6778529
990	139.6774963
991	139.677289
992	139.6772763
993	139.6761808
994	139.6761678
995	139.6761568
996	139.6761485
997	139.6751831
998	139.6751632
999	139.6751544
